Team Member,Building ,Room,Capacity,Room Type,Moveable-Tables,Moveable-Chairs,Moveable Tablet-Desk,AV Display,Source blueray,Source d-v-d,Source v-h-s,Source doc cam,Source hdmi,Source vga,Source wirelss projection,Voice Amplification,Classroom-Computer,Video Playback,Sound System,Inter-active,BruinCast Vid,BruinCast Sound,Wireless Network,Zoom Streaming,Classroom floor plan link
Val,Mathematical Sciences,3915H,24,,1,1,,Single Projection,,1,1,,1,1,,1,1,Inputs Only,Media & XLR Input,,,,1,,https://ucla.box.com/s/pbvg8qtgthxy4zu3vcjz2skwshdei7ha
Val,Mathematical Sciences,4000A,210,Fixed Seating,,,,Single Projection,,1,1,,1,1,,1,1,Inputs Only,Voice & Media,1,1,1,1,1,https://ucla.box.com/s/7zsp2nx1nblx8v0luas446vz9e9v741o
Val,Moore,100,442,Fixed Seating,,,,Multiple Projection,1,1,1,1,1,1,,1,1,DVD & Blu-Ray,Voice & Media,,1,1,1,1,https://ucla.box.com/s/814s5iru5avifd1gx8k7lgt0rfiw2wzt
Val,Moore,1003,25,,1,1,,Single Projection,,1,1,,1,1,,,1,Input Only,Media Only,,,1,1,,https://ucla.box.com/s/m2tlkfv7rug9fvg1ywgke6hx65v7jneu
Val,Perloff,1102,146,Fixed Seating,,,,Single Projection,,1,1,,,1,,1,,Input Only,Voice & Media,,,1,1,1,https://ucla.box.com/s/8fx3t96n46s07drd4u7gcweotpblur1k
Val,Physics & Astronomy,1425,188,Fixed Seating,,,,Multiple Projection,,1,1,1,,1,,1,1,Input Only,Voice & Media,,1,1,1,1,https://ucla.box.com/s/acchmg5pe69c00mjrzjm6p19vsq9o133
Val,Physics & Astronomy,1749,40,,1,1,,Single Projection,,1,1,,1,1,,1,1,Input Only,Voice & Media,,,1,1,,https://ucla.box.com/s/8vbz4hdbs1g9j6q6iu2q563q7xue9lgl
Val,Physics & Astronomy,2434,48,Fixed Seating,,,,Single Projection,,1,1,,1,1,,1,1,Input Only,Voice & Media,,,1,1,,https://ucla.box.com/s/7w1l8jbv9ho72q5cx1ba0gxcvq8zpb5j
Val,Physics & Astronomy,2748,43,,1,1,,Single Projection,,1,1,,1,1,,1,1,Input Only,Voice & Media,,,,1,1,https://ucla.box.com/s/i4gjqqeosk8jn4zyj8nm15u1w6y1rchc
Val,Physics & Astronomy,1434A,95,Fixed Seating,,,,Single Projection,,1,1,1,1,1,,1,1,Input Only,Voice & Media,,,1,1,1,https://ucla.box.com/s/njox21a3a593icr6rf4tkb3vd6farwrq
Val,Public Affairs,1222,93,Fixed Seating,,,,Single Projection,,1,1,,,1,,1,1,Input Only,Voice & Media,,,1,1,1,https://ucla.box.com/s/7vwl95xlkb572iw71mr12xfwznz04yzy
Val,Public Affairs,1234,93,Fixed Seating,,,,Single Projection,,1,1,,,1,,1,1,Input Only,Voice & Media,,,1,1,1,https://ucla.box.com/s/isbfblrzk37i9c2htv8bq5njv4o6cymz
Val,Public Affairs,1246,93,Fixed Seating,,,,Single Projection,,1,1,,,1,,1,1,Input Only,Voice & Media,,,1,1,1,https://ucla.box.com/s/pl913czysam5nfny7icbdk191fn1w49a
Val,Public Affairs,1256,32,,1,1,,Single Projection,,1,1,Transparency Projector,,1,,1,1,Input Only,Media & XLR Input,,,,1,,
Val,Public Affairs,1264,28,,1,1,,Single Projection,,1,1,Transparency Projector,,1,,1,1,Input Only,Media & XLR Input,,,,1,,https://ucla.box.com/s/s4nu889x0na3261gfa6y0yn7ng05j5hc
Val,Public Affairs,1270,28,,1,1,,Single Projection,,1,1,Transparency Projector,,1,,1,1,Input Only,Media & XLR Input,,,,1,,https://ucla.box.com/s/q7rnmz0haybpjfabu1i7i0at5ngfi7ry
Val,Public Affairs,1278,28,,1,1,,Single Projection,,1,1,,,1,,1,1,Input Only,Media & XLR Input,,,,1,,https://ucla.box.com/s/t3zspyg3z4ujuy8blyoudhqo1mv3jmb3
Val,Public Affairs,1284,32,,1,1,,Single Projection,,1,1,Transparency Projector,,1,,1,1,Input Only,Media & XLR Input,,,,1,,
Val,Public Affairs,1323,28,,1,1,,Single Projection,,1,1,Transparency Projector,,1,,1,1,Input Only,Media & XLR Input,,,,1,,https://ucla.box.com/s/r3u29ktyvjvzog2916yot0rdpm5q8csq
Val,Public Affairs,1329,32,,1,1,,Single Projection,,1,1,Transparency Projector,,1,,1,1,Input Only,Media & XLR Input,,,,1,,
Val,Public Affairs,1337,46,Fixed Seating,,,,Single Projection,,1,1,Transparency Projector,,1,,1,1,Input Only,Voice & Media,,,1,1,1,https://ucla.box.com/s/fzl1dpx07v2mg8t7k8v91q7i15zjs9m5
Val,Public Affairs,1343,32,,1,1,,Single Projection,,1,1,Transparency Projector,,1,,1,1,Input Only,Voice & Media,,,,1,,
Val,Public Affairs,2214,85,Fixed Seating,,,,Single Projection,,1,1,,,1,,1,1,Input Only,Voice & Media,,,1,1,1,https://ucla.box.com/s/ad1q8zkay8qso5xy6lhofl24cma19gmy
Val,Public Affairs,2232,57,Fixed Seating,,,,Single Projection,,1,1,,,1,,1,1,Input Only,Voice & Media,,,1,1,1,https://ucla.box.com/s/sl9x5m4s8eyrdfbtt36yw6427q4xuibe
Val,Public Affairs,2238,46,Fixed Seating,,,,Single Projection,,1,1,,,1,,1,1,Input Only,Voice & Media,,,1,1,1,https://ucla.box.com/s/qrob91xw4klieb1mjs21al553xtn6y8q
Val,Public Affairs,2242,50,Fixed Seating,,,,Single Projection,,1,1,,,1,,1,1,Input Only (RCA),Media & XLR Input,,,,1,1,https://ucla.box.com/s/2qghyopvidwugjr4md9qp5b5pazkv71s
Val,Public Affairs,2250,60,Fixed Seating,,,,Single Projection,,1,1,Transparency Projector,,1,,1,,Input Only,Voice & Media,,,1,1,,https://ucla.box.com/s/xk83cjuun9f1v44d1tn1h449c3381at0
Val,Public Affairs,2270,73,Fixed Seating,,,,Single Projection,,1,1,Transparency Projector,,1,,1,1,Input Only,Voice & Media,,,1,,1,https://ucla.box.com/s/6ysyv5ldqwm8kl14ddfw2pewllwdaxom
Val,Public Affairs,2278,28,,1,1,,Single Projection,,1,1,Transparency Projector,,1,,1,1,Input Only,Media & XLR Input,,,,1,,https://ucla.box.com/s/gfq1jagvsyzb86l88f6we7yunq3716iw
Val,Public Affairs,2284,28,,1,1,,Single Projection,,1,1,Transparency Projector,,1,,1,1,Input Only,Voice & Media,,,1,1,,https://ucla.box.com/s/47n643lkredgjdtaa74eowvqrxpkd26e
