Team Member,Building ,Room,Capacity,Room Type,Moveable-Tables,Moveable-Chairs,Moveable Tablet-Desk,AV Display,Source blueray,Source d-v-d,Source v-h-s,Source doc cam,Source hdmi,Source vga,Source wirelss projection,Voice Amplification,Classroom-Computer,Video Playback,Sound System,Inter-active,BruinCast Vid,BruinCast Sound,Wireless Network,Zoom Streaming,Classroom floor plan link
LaMar,Kaplan,169,115,Fixed Seating,,,,Single Projection,,1,1,,,1,,1,1,Inputs Only,Voice & Media,,,1,1,1,https://ucla.box.com/s/dv0zf5q4nff3d2qplea4c6pm9dv7wcna
LaMar,Kaplan,A26,32,,1,1,,Single Projection,,1,1,,,1,,,,DVD & VHS,Media Only,,,,1,,https://ucla.box.com/s/hu4g3axwxy826smq1qshoef9lpos7v2m
LaMar,Kaplan,A30,16,,1,1,,Single Projection,,1,1,,,1,,,,DVD & VHS,Media Only,,,,1,,https://ucla.box.com/s/pt3341vafdqvfubgps6gfu5o22s4rqh8
LaMar,Kaplan,A32,24,,1,1,,Single Projection,,1,1,,,1,,,,DVD & VHS,Media Only,,,,1,,https://ucla.box.com/s/nvf0x3nriq882ag7jv4qcebvx85oxuag
LaMar,Kaplan,A40,20,,1,1,,Single Projection,,1,1,,,1,,,,DVD & VHS,Media Only,,,,1,,https://ucla.box.com/s/3awwf90j3igo05ctztul7jxxo53vp977
LaMar,Kaplan,A46,24,,1,1,,Single Projection,,1,1,,,1,,,,DVD & VHS,Media Only,,,,1,,https://ucla.box.com/s/j0pftkot2lp7acl2zou4vwapja7hn7hc
LaMar,Kaplan,A48,24,,1,1,,Single Projection,,1,1,,,1,,,,DVD & VHS,Media Only,,,,1,,https://ucla.box.com/s/lgk9y34df3yo8g92fiz0rter5fqtnfz7
LaMar,Kaplan,A51,290,Fixed Seating,,,,Single Projection,,,,,,1,,1,1,Inputs Only,Voice & Media,,,1,1,1,https://ucla.box.com/s/16kzmfg4twnwp3bfep1p4565rzf3wytz
LaMar,Kaplan,A56,20,,1,1,,Single Projection,,1,1,,,1,,,,DVD & VHS,Media Only,,,,1,,https://ucla.box.com/s/h60dhv0lfowhwj0v0qfg60hf1342wiik
LaMar,Kaplan,A60,20,,1,1,,Single Projection,,1,1,,,1,,,,DVD & VHS,Media Only,,,,1,,https://ucla.box.com/s/5rvgzpymvjsa4w14v16ksd8rwtma8mme
LaMar,Kaplan,A65,115,Fixed Seating,,,,Single Projection,,,,,,1,,1,1,Inputs Only,Voice & Media,,,1,1,1,https://ucla.box.com/s/hgxkpcbaqgg7c8vueetfchpepfdmv0h4
LaMar,Kaplan,A66,24,,1,1,,Single Projection,,1,1,,,1,,,,DVD & VHS,Media Only,,,,1,,https://ucla.box.com/s/xa3g6b7louqj5olryc0fojwr8iyqt45y
LaMar,Kaplan,A68,24,,1,1,,Single Projection,,1,1,,,1,,,,DVD & VHS,Media Only,,,,1,,https://ucla.box.com/s/e12d9at9apewb72cmn8kvbum0tr151tf
LaMar,Kaufman,101,52,Fixed Seating,,,,Single Projection,,,,,,1,,1,1,Input Only,Voice & Media,,,,,1,https://ucla.box.com/s/jp83jz0de3hws1j5ycqltwyygs39bqen
